x,y,z,value,timestamp
629,759,503,5396,1644021827
760,1545,1322,3154,1663603260
1694,853,1126,-4581,1425343760
1653,1895,1408,-8090,1761043048
824,1236,295,8371,1882160783
1580,38,628,-6114,1482842435
1263,1288,764,8215,1575902229
1377,1491,1869,-2840,1044843403
485,459,699,-8326,1029273237
1958,440,909,2589,1422432147
80,69,368,7022,1931962282
641,671,123,-3165,1596450055
1786,573,1389,4384,1835048986
1655,164,13,3753,1554188321
1331,1696,1940,6175,1207700845
1592,152,1926,5339,1265866923
883,917,1708,-5117,1267425625
1424,161,119,-6063,1764646559
62,1276,592,1578,1896911503
1926,1182,951,1631,1711356344
212,510,62,-6427,1177845714
20,1724,1022,-2673,1024179190
1715,1113,159,2310,1215008752
1983,591,1025,-6252,1088904970
43,1562,694,-9333,1144439288
1580,947,1566,-4521,1881130294
1643,1821,676,4364,1854778267
1805,935,1974,-4349,1465480770
170,1753,1238,427,1570727872
1456,633,1596,-2058,1970782988
792,230,1434,-4683,1532842677
389,1848,717,8392,1384532765
1636,1115,1345,-5198,1311484282
398,610,1076,-4992,1153196765
1074,1882,1687,-9765,1920806710
1617,1043,679,4676,1408774216
1955,1918,345,-3081,1413269982
349,485,1179,-7300,1440138848
1466,215,1601,-1809,1797465928
694,1637,4,-5322,1333358209
1092,1765,1357,1254,1930240762
1822,650,1601,-4211,1361462409
800,1052,1936,4619,1742463004
1637,1285,105,7215,1575352050
82,802,1425,-3232,1375746006
1747,1717,1938,5712,1842382409
291,1630,1186,6500,1881988666
1285,1224,1125,-5179,1046507448
1627,707,624,-6937,1256956063
958,1907,1759,-4364,1586965359
364,1259,197,-4206,1470850228
171,818,1899,-705,1249033909
226,1285,823,951,1993782616
1653,1316,1123,-8078,1064831165
1604,840,1069,-1316,1079955911
1557,1401,156,4002,1036669762
1787,337,1288,-8223,1925725261
1754,1523,1879,-7936,1181298240
296,1779,217,-5520,1381441038
1104,1818,1604,90,1844096942
1633,1005,1571,-4994,1253851348
1072,943,1663,205,1552931408
1768,1818,584,6592,1613037940
1843,1422,1814,-2553,1818037129
1324,837,1168,6579,1016649106
1439,263,341,1010,1049589997
1152,215,444,2241,1709544754
1885,1501,956,8414,1837175466
187,440,962,-1241,1195029476
1653,1690,217,-26,1845673734
160,648,1536,5411,1024410186
1162,1237,767,-5663,1926073900
250,124,1548,-1289,1433260891
1635,9,702,7574,1637060637
1159,335,828,-6087,1118557829
49,1378,610,-481,1782708637
1885,995,1523,3517,1718301642
1434,1661,1666,-6425,1754727157
1665,585,1172,-1296,1214311100
604,26,711,-7959,1084949854
473,1668,1580,3608,1537304116
206,1702,1235,23,1919238246
1387,1571,1883,2150,1487975406
1646,644,1657,-1568,1754883688
1424,742,344,-2790,1339216614
758,1542,1049,9724,1501431812
257,1193,1655,347,1391949878
6,717,1678,1952,1157846376
574,140,203,-9896,1557811832
996,1316,1773,-7136,1348315477
625,21,1612,8483,1182042697
353,1264,1909,-3606,1310729710
